id	page_id	batch_id	ocr_text_path	ocr_xml_path	ocr_completed	juxta_change_index	alt_change_index	noisiness_idx
2271014	2179377	1034	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/10.txt	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/10.xml	2014-12-14 14:01:31	0.896	0.837	NULL
2271016	2179396	1034	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/29.txt	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/29.xml	2014-12-14 14:01:32	0.830	0.783	NULL
2271023	2179453	1034	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/86.txt	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/86.xml	2014-12-14 14:01:37	0.870	0.800	NULL
2271025	2179434	1034	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/67.txt	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/67.xml	2014-12-14 14:01:39	0.905	0.827	NULL
2271028	2179472	1034	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/105.txt	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/105.xml	2014-12-14 14:01:42	0.857	0.883	NULL
2271035	2179415	1034	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/48.txt	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/48.xml	2014-12-14 14:01:46	0.930	0.838	NULL
2271039	2179394	1034	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/27.txt	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/27.xml	2014-12-14 14:01:47	0.836	0.844	NULL
2271040	2179510	1034	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/143.txt	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/143.xml	2014-12-14 14:01:49	0.903	0.834	NULL
2271041	2179529	1034	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/162.txt	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/162.xml	2014-12-14 14:01:49	0.799	0.738	NULL
2271042	2179548	1034	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/181.txt	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/181.xml	2014-12-14 14:01:50	0.909	0.901	NULL
2271043	2179586	1034	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/219.txt	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/219.xml	2014-12-14 14:01:51	0.659	0.791	NULL
2271044	2179451	1034	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/84.txt	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/84.xml	2014-12-14 14:01:52	0.821	0.844	NULL
2271045	2179470	1034	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/103.txt	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/103.xml	2014-12-14 14:01:55	0.864	0.805	NULL
2271048	2179432	1034	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/65.txt	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/65.xml	2014-12-14 14:02:00	0.890	0.835	NULL
2271050	2179567	1034	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/200.txt	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/200.xml	2014-12-14 14:02:00	0.845	0.716	NULL
2271051	2179413	1034	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/46.txt	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/46.xml	2014-12-14 14:02:01	0.869	0.800	NULL
2271053	2179393	1034	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/26.txt	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/26.xml	2014-12-14 14:02:02	0.861	0.811	NULL
2271055	2179491	1034	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/124.txt	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/124.xml	2014-12-14 14:02:03	0.559	0.480	NULL
2271056	2188551	1034	/data/shared/text-xml/IDHMC-ocr/156/155678/1034/8.txt	/data/shared/text-xml/IDHMC-ocr/156/155678/1034/8.xml	2014-12-14 14:02:05	0.907	0.803	NULL
2271057	2179546	1034	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/179.txt	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/179.xml	2014-12-14 14:02:05	0.800	0.738	NULL
2271058	2179527	1034	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/160.txt	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/160.xml	2014-12-14 14:02:06	0.821	0.797	NULL
2271061	2179489	1034	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/122.txt	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/122.xml	2014-12-14 14:02:07	0.866	0.827	NULL
2271062	14789147	1034	/data/shared/text-xml/IDHMC-ocr/264/263924/1034/12.txt	/data/shared/text-xml/IDHMC-ocr/264/263924/1034/12.xml	2014-12-14 14:02:07	0.813	0.785	NULL
2271064	14789166	1034	/data/shared/text-xml/IDHMC-ocr/264/263924/1034/31.txt	/data/shared/text-xml/IDHMC-ocr/264/263924/1034/31.xml	2014-12-14 14:02:09	0.893	0.821	NULL
2271065	14789223	1034	/data/shared/text-xml/IDHMC-ocr/264/263924/1034/88.txt	/data/shared/text-xml/IDHMC-ocr/264/263924/1034/88.xml	2014-12-14 14:02:10	0.856	0.844	NULL
2271066	14789183	1034	/data/shared/text-xml/IDHMC-ocr/264/263924/1034/48.txt	/data/shared/text-xml/IDHMC-ocr/264/263924/1034/48.xml	2014-12-14 14:02:11	0.000	0.000	NULL
2271069	14789185	1034	/data/shared/text-xml/IDHMC-ocr/264/263924/1034/50.txt	/data/shared/text-xml/IDHMC-ocr/264/263924/1034/50.xml	2014-12-14 14:02:12	0.862	0.754	NULL
2271070	14789204	1034	/data/shared/text-xml/IDHMC-ocr/264/263924/1034/69.txt	/data/shared/text-xml/IDHMC-ocr/264/263924/1034/69.xml	2014-12-14 14:02:14	0.917	0.826	NULL
2271071	2179565	1034	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/198.txt	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/198.xml	2014-12-14 14:02:14	0.877	0.788	NULL
2271072	2179450	1034	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/83.txt	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/83.xml	2014-12-14 14:02:15	0.615	0.542	NULL
2271074	14789242	1034	/data/shared/text-xml/IDHMC-ocr/264/263924/1034/107.txt	/data/shared/text-xml/IDHMC-ocr/264/263924/1034/107.xml	2014-12-14 14:02:16	0.909	0.843	NULL
2271075	2179392	1034	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/25.txt	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/25.xml	2014-12-14 14:02:16	0.864	0.853	NULL
2271078	14789261	1034	/data/shared/text-xml/IDHMC-ocr/264/263924/1034/126.txt	/data/shared/text-xml/IDHMC-ocr/264/263924/1034/126.xml	2014-12-14 14:02:17	0.803	0.707	NULL
2271080	14789299	1034	/data/shared/text-xml/IDHMC-ocr/264/263924/1034/164.txt	/data/shared/text-xml/IDHMC-ocr/264/263924/1034/164.xml	2014-12-14 14:02:18	0.877	0.771	NULL
2271085	14789318	1034	/data/shared/text-xml/IDHMC-ocr/264/263924/1034/183.txt	/data/shared/text-xml/IDHMC-ocr/264/263924/1034/183.xml	2014-12-14 14:02:20	0.862	0.812	NULL
2271086	14789280	1034	/data/shared/text-xml/IDHMC-ocr/264/263924/1034/145.txt	/data/shared/text-xml/IDHMC-ocr/264/263924/1034/145.xml	2014-12-14 14:02:20	0.830	0.726	NULL
2271087	2179431	1034	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/64.txt	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/64.xml	2014-12-14 14:02:20	0.594	0.414	NULL
2271088	2179469	1034	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/102.txt	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/102.xml	2014-12-14 14:02:20	0.649	0.503	NULL
2271089	14789337	1034	/data/shared/text-xml/IDHMC-ocr/264/263924/1034/202.txt	/data/shared/text-xml/IDHMC-ocr/264/263924/1034/202.xml	2014-12-14 14:02:20	0.814	0.671	NULL
2271092	2179545	1034	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/178.txt	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/178.xml	2014-12-14 14:02:22	0.791	0.712	NULL
2271094	14789145	1034	/data/shared/text-xml/IDHMC-ocr/264/263924/1034/10.txt	/data/shared/text-xml/IDHMC-ocr/264/263924/1034/10.xml	2014-12-14 14:02:23	0.865	0.815	NULL
2271097	14789240	1034	/data/shared/text-xml/IDHMC-ocr/264/263924/1034/105.txt	/data/shared/text-xml/IDHMC-ocr/264/263924/1034/105.xml	2014-12-14 14:02:28	0.798	0.782	NULL
2271098	2179584	1034	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/217.txt	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/217.xml	2014-12-14 14:02:28	0.872	0.761	NULL
